article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
2429705,3,2,5,7,3,207,31,3.9,False
1986591,23,113,21,337,21,8551,534,9.8,True
4262527,0,0,2,1,1,5,1,15.5,False
6824001,0,2,0,4,2,743,12,25.2,False
562660,16,97,23,464,3,5659,420,11.7,True
6374204,0,0,3,51,3,183,8,14.2,False
988920,1,0,2,34,7,197,16,6.8,False
44485,5,43,17,225,2,2877,208,13.2,True
3466135,39,68,75,1163,13,16462,989,10.9,True
4902139,0,0,2,1,0,3,1,10.4,False
4117491,0,4,6,24,6,333,17,11.5,False
8475659,0,0,0,2,1,15,1,15.4,False
1583085,2,26,15,105,1,1342,88,11.8,False
146113,20,101,37,406,10,12753,1095,10.3,True
141078,6,92,21,312,3,10004,661,11.0,True
2389,15,28,16,392,13,5194,303,10.1,True
458549,9,6,18,89,1,3353,175,11.5,True
8232739,1,0,0,59,1,1,1,-4.0,False
335455,17,80,34,244,4,8244,467,9.6,True
1789207,20,2,15,127,3,6401,359,9.4,True
5135420,0,5,10,81,8,1959,99,9.5,False
800881,3,1,5,55,12,467,26,9.4,False
425955,3,24,16,207,2,3302,229,11.4,True
273872,32,61,32,237,23,10993,687,10.3,True
101733,4,31,27,189,16,7566,446,10.2,True
5193014,17,63,28,259,11,6420,434,10.8,True
4911829,0,1,2,22,6,265,24,7.8,False
951518,18,101,35,289,11,9106,580,10.1,True
859572,1,50,17,121,6,3209,297,11.6,False
6156951,1,0,4,309,3,791,7,26.8,False
918718,5,52,13,92,1,5969,517,9.7,True
4339337,5,219,49,338,10,19168,1352,8.9,True
693719,1,0,1,19,7,135,8,9.6,False
8872567,0,0,6,35,8,1008,67,9.8,False
3541537,5,24,20,188,3,3294,221,10.4,True
4464900,0,4,8,58,7,638,23,14.5,False
33481,6,23,18,265,8,6668,389,10.9,True
4395722,16,136,20,215,5,7774,662,9.3,True
9409416,3,1,4,12,4,245,18,10.9,False
7494135,0,0,0,3,0,4,1,24.0,False
1142086,1,0,4,11,2,243,14,11.3,False
2195528,0,0,0,2,0,16,1,13.5,False
6151009,16,155,20,269,4,7465,525,9.4,True
3848791,4,5,7,102,4,1785,121,8.8,False
6249782,7,48,8,238,1,3195,230,10.5,True
735834,5,4,18,138,6,4129,237,10.5,True
945037,0,9,5,49,2,561,37,14.3,False
4140106,1,2,4,16,9,257,20,10.1,False
4661,18,57,23,286,4,5494,336,9.6,True
1582694,5,0,14,136,18,4392,208,12.6,True
7269214,0,0,0,2,0,23,1,11.4,False
8863020,0,0,0,0,4,6,1,26.5,False
9344004,0,0,0,1,1,4,1,14.3,False
5316234,0,0,24,2857,3,14944,70,49.1,False
4099663,2,44,14,229,2,3446,319,11.3,True
5577921,0,0,0,3,0,31,2,14.7,False
5438425,2,0,5,26,4,547,38,8.5,False
285730,15,15,20,230,19,5548,422,10.1,True
6352374,0,6,5,7,3,317,23,13.2,False
3424139,21,64,19,414,2,6099,421,11.9,True
6715113,0,0,0,11,0,96,1,32.5,False
83766,3,66,17,153,1,4979,277,12.5,True
3262208,25,94,36,670,4,17123,996,10.8,True
1936050,1,1,2,12,4,240,11,15.9,False
62229,29,63,34,312,25,8992,544,9.4,True
899091,5,8,21,110,3,4254,257,10.8,True
1576,4,36,12,183,1,2995,172,9.7,False
3492139,1,0,17,50,12,1551,99,11.1,False
287507,25,28,24,261,12,7633,440,11.3,True
8849923,0,1,6,28,5,859,66,11.5,False
7331130,0,0,0,0,2,4,1,24.0,False
2534,5,19,21,236,26,5663,390,8.9,True
4342098,0,0,0,0,2,4,1,23.2,False
7888583,1,19,7,43,6,679,49,9.7,False
6883207,6,12,10,209,4,2723,183,8.9,False
22857,6,99,15,346,8,9337,771,10.4,True
2561928,0,0,2,0,0,3,1,10.4,False
982080,12,0,28,278,1,4882,304,11.1,True
8806568,1,0,3,17,4,187,16,10.0,False
8779351,0,0,2,26,8,215,16,8.1,False
1412628,0,0,0,6,0,38,3,9.1,False
6601357,0,7,5,44,3,510,43,12.0,False
5970893,0,4,7,52,14,816,87,10.1,False
1103421,1,26,15,69,6,4024,307,10.1,True
6139252,0,1,1,7,1,83,9,9.5,False
28565,40,103,40,607,8,9315,680,10.1,True
1954920,0,3,1,19,10,154,16,10.7,False
5121,5,38,14,124,12,4434,296,9.7,True
249830,10,9,11,177,1,2845,202,10.5,True
6384630,1,0,0,11,1,4,1,14.3,False
15194,4,21,48,312,5,6074,403,11.6,True
4699458,0,13,7,52,4,1159,65,8.3,False
6520112,0,4,4,32,5,766,47,7.8,False
544219,12,226,40,419,6,18959,1443,10.2,True
6567759,0,4,6,27,2,291,30,9.7,False
5147747,0,0,0,0,1,3,1,9.3,False
582714,12,10,10,94,5,3413,188,11.1,True
5066108,13,147,26,332,6,11015,773,11.2,True
3261079,2,2,6,46,14,416,29,11.0,False
3261944,0,0,0,0,4,7,1,20.1,False
7365753,8,59,22,199,1,3947,274,10.6,True
3188699,25,29,24,350,8,6411,340,13.0,True
5193016,0,0,5,142,6,1682,50,10.6,False
7724719,1,7,6,65,11,393,28,8.2,False
111667,18,36,35,405,4,9366,546,10.3,True
9405,26,89,52,647,9,12922,962,10.6,True
5379743,0,0,2,17,6,240,20,11.6,False
443007,5,21,15,78,8,4877,357,10.9,True
1451419,0,2,10,26,4,862,43,13.9,False
2356387,0,0,0,2,0,22,1,11.3,False
663556,14,26,24,253,11,7980,518,9.4,True
6974889,0,0,3,17,4,132,9,7.0,False
8949806,0,3,9,19,1,542,24,12.7,False
5577467,3,3,4,29,4,401,26,9.4,False
15653,63,156,56,1221,5,23235,1560,10.6,True
3074136,19,13,29,167,5,5584,347,10.2,True
1460680,4,11,15,91,2,2041,141,11.7,True
6194680,0,8,3,16,3,231,10,10.0,False
59390,26,43,21,408,20,10421,753,9.9,True
1727048,3,6,8,35,4,513,37,10.6,False
1570052,1,47,20,82,3,4757,272,11.1,True
9414515,0,9,4,51,11,667,68,6.1,False
17015,13,15,27,290,4,4182,260,12.5,True
5278343,0,0,2,0,0,3,1,10.4,False
328984,1,1,13,72,1,2155,106,12.4,True
8516991,4,76,19,110,5,5125,272,9.2,True
1774730,27,12,42,361,4,7468,511,12.3,True
364420,0,0,0,14,0,92,2,19.6,False
725601,4,12,10,73,17,1175,101,9.4,False
1265957,0,0,0,4,0,20,1,16.4,False
24448,0,0,0,22,1,160,2,24.2,False
143632,8,92,39,489,3,10077,570,12.1,True
3540888,9,12,21,66,3,3180,203,13.4,True
13218,8,117,25,303,13,9737,798,10.6,True
213055,5,75,28,289,6,5715,434,11.0,True
5390498,0,3,7,31,3,662,37,11.4,False
259433,0,5,6,48,7,1874,94,9.9,False
4678067,30,169,40,182,4,9864,630,9.6,True
53869,20,63,37,300,2,8318,510,10.1,True
8518816,0,0,0,0,2,3,1,8.2,False
699446,8,23,20,134,4,3103,239,9.9,True
8618,26,185,25,464,17,16713,1665,8.9,True
8374060,0,1,2,8,5,155,12,8.2,False
4274243,21,48,22,288,4,6816,405,11.1,True
7479099,1,0,0,1,1,3,1,9.3,False
3218576,0,1,12,8,2,142,15,9.3,False
1447964,0,2,6,37,14,359,23,9.5,False
3739800,0,1,2,8,2,361,24,15.6,False
